;ID;question;mexico_2008;mexico_2010;mexico_2012;mexico_2014;ecuador_2010;ecuador_2012;ecuador_2014;uruguay_2014;colombia_2010;colombia_2012;colombia_2014;chile_2008;chile_2014;argentina_2014;peru_2014;peru_2010;brasil_2014;brasil_2010;
Q_561;561;Em caso de conflito militar entre o CHILE e a ARGENTINA, você concorda ou discorda que o Brasil rompa imediatamente suas relações com o governo não democrático sem esperar resposta de outros países?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Q_192;NA;
Q_562;562;Em caso de conflito militar entre o CHILE e a ARGENTINA, você está de acordo ou desacordo que o Brasil assuma a liderança nos organismos internacionais para impor sanções econômicas ao governo não democrático?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Q_188;NA;
Q_563;563;em su opinión la prioridad económica de [PAIS] debería ser….?;p8_806_9;pMx5;qmx5;NA;ec_32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_564;564;em su opinión la prioridad política de [PAIS] debería ser?;NA;NA;NA;NA;ec_33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_565;565;En 2015 se definirá en las Naciones Unidas la nueva agenda de desarrollo mundial para el periodo 2015-2030. A usted le parece que la incorporacion de esa agenda mundial en los planes y programa del Estado ecuatoriano es;NA;NA;NA;NA;NA;NA;ECPNUD2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_566;566;En 2015 se definirá en las Naciones Unidas la nueva agenda de desarrollo mundial para el periodo 2015-2030. En su opinion, cuales son los 3 objetivos principales que deben constar en esa agenda?;NA;NA;NA;NA;NA;NA;ECPNUD1_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_567;567;En 2015 se definirá en las Naciones Unidas la nueva agenda de desarrollo mundial para el periodo 2015-2030. En su opinion, cuales son los 3 objetivos principales que deben constar en esa agenda?;NA;NA;NA;NA;NA;NA;ECPNUD1_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_568;568;En 2015 se definirá en las Naciones Unidas la nueva agenda de desarrollo mundial para el periodo 2015-2030. En su opinion, cuales son los 3 objetivos principales que deben constar en esa agenda?;NA;NA;NA;NA;NA;NA;ECPNUD1_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_569;569;En África hay 53 países y [PAÍS] tiene 5 embajadas. ¿Usted cree que [PAÍS];p6_607_8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p18;xxxxxxxxx
Q_570;570;en caso de conflicto armado en américa latina, ¿quién cree usted que debe actuar para resolverlo;p8_808_12;p47;NA;NA;p47;EC15;EC15;NA;p47;NA;NA;p34;NA;NA;NA;p47;NA;p34;
Q_571;571;en caso de que el ejército o un grupo armado de algún país latinoamericano derrocara al gobierno que se elegio democraticamente, usted cree que [PAIS] debe…;p8_803_4;p44;NA;NA;p44;q50;EC47;NA;p44;NA;NA;p30;NA;NA;NA;p44;NA;p30;
Q_572;572;En caso de que en América Latina sea derrocado un gobierno que haya sido elegido democráticamente, ¿usted cree que Colombia debe…?;NA;NA;q50;NA;NA;NA;NA;NA;NA;q50;NA;NA;NA;NA;NA;NA;Q_90;NA;
Q_573;573;En caso de que un presidente Centroamericano sea derrocado por la fuerza, ¿qué tan de acuerdo está ud con que [PAIS] no opine sobre la situacion pues, por principio, no se debe interferir en asuntos internos de outros paises?;NA;NA;NA;P82D1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_574;574;En caso de que un presidente Centroamericano sea derrocado por la fuerza, ¿qué tan de acuerdo está ud con que [PAIS] rompa inmediatamente relaciones diplomaticas con el gobierno no democratico sin esperar respuesta de otros paises?;NA;NA;NA;P82C1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_575;575;En caso de que un presidente Centroamericano sea derrocado por la fuerza, ¿qué tan de acuerdo está ud con que [PAIS] tome el liderazgo en la region para sancionar economicamente al gobierno democratico;NA;NA;NA;P82A1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_576;576;En caso de que un presidente Centroamericano sea derrocado por la fuerza, ¿qué tan de acuerdo está ud con que [PAIS] tome el liderazgo en los organismos internacionales para condenar al gobierno no democratico?;NA;NA;NA;P82B1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_577;577;En caso de que un presidente Sudamericano sea derrocado por la fuerza, ¿qué tan de acuerdo está ud con que [PAIS] no opine sobre la situacion pues, por principio, no se debe interferir en asuntos internos de outros paises?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;v_8_2_d;NA;P8_2_B, P8_3_B;p8_2a;P8_2_D;NA;Q_79;NA;
Q_578;578;En caso de que un presidente Sudamericano sea derrocado por la fuerza, ¿qué tan de acuerdo está ud con que [PAIS] rompa inmediatamente relaciones diplomaticas con el gobierno no democratico sin esperar respuesta de otros paises?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;v_8_2_c;NA;P8_2_A, P8_3_A;p8_2b;P8_2_C;NA;NA;NA;
Q_579;579;En caso de que un presidente Sudamericano sea derrocado por la fuerza, ¿qué tan de acuerdo está ud con que [PAIS] tome el liderazgo en la region para sancionar economicamente al gobierno democratico;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;v_8_2_a;NA;NA;p8_2c;P8_2_A;NA;Q_77;NA;
Q_580;580;En caso de que un presidente Sudamericano sea derrocado por la fuerza, ¿qué tan de acuerdo está ud con que [PAIS] tome el liderazgo en los organismos internacionales para condenar al gobierno no democratico?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;v_8_2_b;NA;NA;p8_2d;P8_2_B;NA;Q_78;NA;
Q_581;581;En caso de un conflicto militar entre dos países Centroamericanos, ¿qué tan de acuerdo está ud con que [PAIS] no opine sobre la situacion pues, por principio, no se debe interferir en asuntos internos de outros paises?;NA;NA;NA;P83D1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_582;582;En caso de un conflicto militar entre dos países Centroamericanos, ¿qué tan de acuerdo está ud con que [PAIS] rompa inmediatamente relaciones diplomaticas con el pais no agresor sin esperar respuesta de otros paises?;NA;NA;NA;P83C1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_583;583;En caso de un conflicto militar entre dos países Centroamericanos, ¿qué tan de acuerdo está ud con que [PAIS] tome el liderazgo en la region para sancionar economicamente al pais agresor?;NA;NA;NA;P83A1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_584;584;En caso de un conflicto militar entre dos países Centroamericanos, ¿qué tan de acuerdo está ud con que [PAIS] tome el liderazgo en organismos internacionales para condenar al pais agresor?;NA;NA;NA;P83B1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_585;585;En caso de un conflicto militar entre dos países Sudamericanos, ¿qué tan de acuerdo está ud con que [PAIS] no opine sobre la situacion pues, por principio, no se debe interferir en asuntos internos de outros paises?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;v_8_3_d;NA;NA;p8_3a;P8_3_D;NA;NA;NA;
Q_586;586;En caso de un conflicto militar entre dos países Sudamericanos, ¿qué tan de acuerdo está ud con que [PAIS] rompa inmediatamente relaciones diplomaticas con el pais no agresor sin esperar respuesta de otros paises?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;v_8_3_c;NA;NA;p8_3b;P8_3_C;NA;NA;NA;
Q_587;587;En caso de un conflicto militar entre dos países Sudamericanos, ¿qué tan de acuerdo está ud con que [PAIS] tome el liderazgo en la region para sancionar economicamente al pais agresor?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;v_8_3_a;NA;NA;p8_3c;P8_3_A;NA;NA;NA;
Q_588;588;En caso de un conflicto militar entre dos países Sudamericanos, ¿qué tan de acuerdo está ud con que [PAIS] tome el liderazgo en organismos internacionales para condenar al pais agresor?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;v_8_3_b;NA;NA;p8_3d;P8_3_B;NA;NA;NA;
Q_589;589;En el año 2013 el gobierno ecuatoriano decidió cancelar el proyecto de dejar baj;NA;NA;NA;NA;NA;NA;EC27_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_590;590;En el marco de la Alianza del Pacífico, de acuerdo a lo que Ud. conoce o ha escuchado, ¿cuál es el principal socio de Chile en este acuerdo?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C26;NA;NA;NA;NA;NA;
Q_591;591;En general ¿Qué tanto interés tiene usted en los: asuntos nacionales?;NA;NA;NA;P111;NA;NA;P1_1_1;NA;NA;NA;v_1_1_1;NA;P1_1_1;NA;P1_1_1_A;NA;Q_149;NA;
Q_592;592;en general, ¿cree usted que el libre comercio es bueno o malo para...? el campo [nacional paÍs];p7_706_7e;p39_5;q45_5, q45_5b;P794A, P794B;p39_6;q45_5;P7_9_4;P7_9_4_A;p39_6;q45_5;v_7_9_4_a, v_7_9_2_d;p23f;P7_9_4_A;NA;P7_9_1_A_D;p39_6;T_67_6;p23f;
Q_593;593;en general, ¿cree usted que el libre comercio es bueno o malo para...? el medio ambiente;p7_706_7a;p39_2;q45_2, q45_2b;P791A, P791B;p39_2;q45_2;P7_9_1;P7_9_1_A;p39_2;q45_2;v_7_9_1_a, v_7_9_1_b;p23b;P7_9_1_A;NA;P7_9_1_A_A;p39_2;T_67_2;p23b;
Q_594;594;en general, ¿cree usted que el libre comercio es bueno o malo para...? el nivel de vida de personas como usted;p7_706_7c;p39_4;q45_4, q45_4b;P793A, P793B;p39_4;q45_4;P7_9_3;P7_9_3_A;p39_4;q45_4;v_7_9_3_a, v_7_9_2_c;p23d;P7_9_3_A;NA;P7_9_1_A_C;p39_4;T_67_4;p23d;
Q_595;595;en general, ¿cree usted que el libre comercio es bueno o malo para...? empresas [nacionales paÍs];p7_706_7d;NA;NA;NA;p39_5;q45_6;NA;NA;p39_5;q45_6;NA;p23r;NA;NA;NA;p39_5;T_67_5;p23e;
Q_596;596;en general, ¿cree usted que el libre comercio es bueno o malo para...? la economía [nacional paÍs];p7_706_7b;p39_3;q45_3, q45_3b;P792A, P792B;p39_3;q45_3;P7_9_2;P7_9_2_A;p39_3;q45_3;v_7_9_2_a, v_7_9_2_b;p23c;P7_9_2_A;NA;P7_9_1_A_B;p39_3;T_67_3;p23c;
Q_597;597;en general, ¿cree usted que el libre comercio es bueno o malo para...? los trabajadores [nacionales paÍs];p7_706_7f;NA;NA;NA;p39_7;q45_7;NA;NA;p39_7;q45_7;NA;p23g;NA;NA;NA;p39_7;T_67_7;p23g;
Q_598;598;en general, ¿cree usted que el libre comercio es bueno o malo para...?: la economia de países desarollados;p7_706_6e;p39_1;q45_1, q45_1b;NA;p39_1;q45_1;NA;NA;p39_1;q45_1;NA;p23a;NA;NA;NA;p39_1;T_67_1;p23a;
Q_599;599;En general, ¿cuál es su opinión sobre la participación del Perú en la Alianza del Pacífico: muy buena, buena, mala o muy mala?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P8_14;NA;NA;NA;
Q_600;600;en general, ¿cuál es su opinión sobre los extranjeros que viven en [PAÍS]? [buena/mala];NA;p19;q24;P47A;p19;q24;P4_7_A,P4_7_B;NA;p19;q24;V_4_7_a;NA;P4_7_A;NA;P4_7_A, P4_7_B_R;p19;Q_163;NA;
Q_601;601;En general, ¿cuál es su opinión sobre los inmigrantes que viven en [PAIS]: muy;NA;NA;NA;P47B;NA;NA;NA;NA;NA;NA;v_4_7_b;NA;P4_7_B;NA;NA;NA;NA;NA;
Q_602;602;en general, ¿qué tan de acuerdo o en desacuerdo está usted con las siguie… debilitan nuestras costumbres y tradiciones;NA;NA;q13_5, q13b_5;P495A, P495B;p10_5a, p10_5b;q13_5;P4_9_A_5 ,P4_9_B_5;NA;NA;q13_5;v_4_9_5_a, v_4_9_5_b;NA;P4_9_5_A, P4_9_5_B;NA;P4_9_1_A_E, P4_9_1_B_E;p10_5A;NA;NA;
Q_603;603;en general, ¿qué tan de acuerdo o en desacuerdo está usted con las siguie… generan inseguridad;NA;NA;q13_3, q13b_3;P493A, P493B;p10_3a, p10_3b;q13_3;P4_9_A_3 ,P4_9_B_3;NA;NA;q13_3;v_4_9_3_a, v_4_9_3_b;NA;P4_9_3_A, P4_9_3_B;NA;P4_9_1_A_C, P4_9_1_B_C;p10_3A;NA;NA;
Q_604;604;en general, ¿qué tan de acuerdo o en desacuerdo está usted con las siguie… quitan empleo;NA;NA;q13_2, q13b_2;P492A, P492B;p10_2a, p10_2b;q13_2;P4_9_A_2 ,P4_9_B_2;NA;NA;q13_2;v_4_9_2_a, v_4_9_2_b;NA;P4_9_2_A, P4_9_2_B;NA;P4_9_1_A_B, P4_9_1_B_B;p10_2A;NA;NA;
Q_605;605;en general, ¿qué tan de acuerdo o en desacuerdo está usted con las siguie… traen ideas inovadoras;NA;NA;q13_4, q13b_4;P494A, P494B;p10_4a, p10_4b;q13_4;P4_9_A_4 ,P4_9_B_4;NA;NA;q13_4;v_4_9_4_a, v_4_9_4_b;NA;P4_9_4_A, P4_9_4_B;NA;P4_9_1_A_D, P4_9_1_B_D;p10_4A;NA;NA;
Q_606;606;en general, ¿qué tan de acuerdo o en desacuerdo está usted con las siguientes afirmaciones con respecto a los extranjeros que viven en [PAIS]… contribuen a la economia de [PAIS];NA;NA;q13_1, q13b_1;P491A, P491B;p10_1a, p10_1b;q13_1;P4_9_A_1 ,P4_9_B_1;NA;NA;q13_1;v_4_9_1_a, v_4_9_1_b;NA;P4_9_1_A, P4_9_1_B;NA;P4_9_1_A_A, P4_9_1_B_A;p10_1A;NA;NA;
Q_607;607;en general, ¿usted cree que américa latina está mejor o peor que hace 10 años;p8_801_1a;p42_1;q48_1;P81;p42_1;q48_1;P8_1;NA;p42_1;q48_1;v_8_1;p27a;P8_1;p8_1;P8_1;p42_1;Q_71;p27_1;
Q_608;608;en general, ¿usted cree que el mundo está mejor o peor que hace 10 años?;p3_301_1a;p12_1;q16_1;P32;p12_1;q16_1;P3_2;NA;p12_1;q16_1;v_3_2;p6a;P3_2;p3_2;P3_2;p12_1;Q_42;p6_1;
Q_609;609;En general, durante la encuesta, ¿qué tan interesando estuvo el encuestado?;NA;NA;NA;NA;NA;NA;X1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_610;610;en los últimos 10 años, ¿qué país de américa latina cree usted que ha generado mas conflictos en la region;p8_810_14a;p48_1;q53;NA;p48_1;q53;NA;NA;p48_1;q53;NA;p35a;NA;NA;NA;p48_1, p48_1rc;Q_94, Q_94_S;p35_1, p35_1_re;
Q_611;611;En los últimos años [PAIS] ha usado el Proyecto Yasuní-ITT como su mejor carta de presentacion en politica ambiental internacional. En su opinion:;NA;NA;NA;NA;NA;EC27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_612;612;en los últimos diez años, ¿qué país de latinoamérica, ha sido el más influente;p8_807_10a;p45_1;q51;NA;p45_1;q51;NA;NA;p45_1;q51;NA;p32a , p32b;NA;NA;NA;p45_1, p45_1rc;Q_92, Q_92_S;p32_1,p32_1_re;
Q_613;613;en su opinion ¿[PAÍS] debería aumentar, mantener, o reducir el tamaño de sus forzas armadas ;NA;p31_A, p31_B;q39;NA;p31a, p31b;q39;NA;NA;P31a;q39;NA;NA;NA;NA;NA;p31a, p31b;NA;NA;
Q_614;614;En su opinion que tan importante es trabajar la zona de la frontera con colombia en los siguientes aspectos … aumentar la presencia de las instituiciones del Estado;NA;NA;NA;NA;ec_21_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_615;615;En su opinion que tan importante es trabajar la zona de la frontera con colombia en los siguientes aspectos … disminuir la criminalidad y la violencia;NA;NA;NA;NA;ec_21_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_616;616;En su opinion que tan importante es trabajar la zona de la frontera con colombia en los siguientes aspectos … generar oportunidades economicas y de empleo;NA;NA;NA;NA;ec_21_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_617;617;En su opinion que tan importante es trabajar la zona de la frontera con colombia en los siguientes aspectos … resolver los conflictos sobre los recursos naturales;NA;NA;NA;NA;ec_21_4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_618;618;En su opinion que tan relacionadas estan las seguientes relaciones con el nacionalismo? ... Respetar los simbolos patrios;NA;NA;q28_1;NA;NA;q28_1;NA;NA;NA;q28_1;NA;NA;NA;NA;NA;NA;NA;NA;
Q_619;619;En su opinion que tan relacionadas estan las seguientes relaciones con el nacionalismo?Apoyar a la selección nacional;NA;NA;q28_2;NA;NA;q28_2;NA;NA;NA;q28_2;NA;NA;NA;NA;NA;NA;NA;NA;
Q_620;620;En su opinion que tan relacionadas estan las seguientes relaciones con el nacionalismo?Defender al país en caso de guerra;NA;NA;q28_6;NA;NA;q28_6;NA;NA;NA;q28_6;NA;NA;NA;NA;NA;NA;NA;NA;
Q_621;621;En su opinion que tan relacionadas estan las seguientes relaciones con el nacionalismo?No comprar productos extranjeros;NA;NA;q28_3;NA;NA;q28_3;NA;NA;NA;q28_3;NA;NA;NA;NA;NA;NA;NA;NA;
Q_622;622;En su opinion que tan relacionadas estan las seguientes relaciones con el nacionalismo?Oponerse a Estados Unidos;NA;NA;q28_4;NA;NA;q28_4;NA;NA;NA;q28_4;NA;NA;NA;NA;NA;NA;NA;NA;
Q_623;623;En su opinion que tan relacionadas estan las seguientes relaciones con el nacionalismo?Pagar impuestos;NA;NA;q28_7;NA;NA;q28_7;NA;NA;NA;q28_7;NA;NA;NA;NA;NA;NA;NA;NA;
Q_624;624;En su opinion que tan relacionadas estan las seguientes relaciones con el nacionalismo?Preferir la música y películas [NACIONALES PAÍS] a las extranjeras;NA;NA;q28_5;NA;NA;q28_5;NA;NA;NA;q28_5;NA;NA;NA;NA;NA;NA;NA;NA;
Q_625;625;En su opinión, ¿cree Ud. que el Gobierno está defendiendo eficazmente los intereses nacionales frente a la demanda presentada por Bolivia o, cree que no lo está defendiendo eficazmente?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C16;NA;NA;NA;NA;NA;
Q_627;627;En su opinión, ¿de dónde cree que viene la mayoría del dinero que reciben las organizaciones no gubernamentales de derechos humanos en el pais?;NA;NA;q8,q82a;P125, P125A;NA;q8,q82a;P12_5;NA;NA;q8,q82a;v_12_5;NA;P12_5, P12_5_TXT;NA;P12_5, P12_5_OTROS;NA;NA;NA;
Q_628;628;En su opinión, ¿el gobierno ecuatoriano debe permitir o no debe permitir que los extranjero inviertan en Agua;NA;NA;NA;P775;NA;NA;P7_7_5;P7_7_5;NA;NA;V_7_7_5;NA;P7_7_5;NA;P7_7_1_E;NA;NA;NA;
Q_629;629;En su opinión, ¿el gobierno ecuatoriano debe permitir o no debe permitir que los extranjero inviertan en Banca;NA;NA;NA;NA;NA;NA;P7_7_6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_630;630;En su opinión, ¿el gobierno ecuatoriano debe permitir o no debe permitir que los extranjero inviertan en Electricidad;p7_705_6b;pMx2_2;qmx2_2, qmx2_2b;P772;NA;NA;P7_7_2;P7_7_2;NA;NA;V_7_7_2;NA;P7_7_2;NA;P7_7_1_B;NA;NA;NA;
Q_631;631;En su opinión, ¿el gobierno ecuatoriano debe permitir o no debe permitir que los extranjero inviertan en Medios de Comunicacion;p7_705_6d;pMx2_4;qmx2_4, qmx2_4b;P774;NA;NA;P7_7_4;P7_7_4;NA;NA;V_7_7_4;NA;P7_7_4;NA;P7_7_1_D;NA;NA;NA;
Q_632;632;En su opinión, ¿el gobierno ecuatoriano debe permitir o no debe permitir que los extranjero inviertan en Mineria;NA;NA;NA;NA;NA;NA;P7_7_8;NA;NA;NA;NA;NA;P7_7_6;NA;NA;NA;NA;NA;
Q_633;633;En su opinión, ¿el gobierno ecuatoriano debe permitir o no debe permitir que los extranjero inviertan en Pesca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P7_7_7;NA;NA;NA;NA;NA;
Q_634;634;En su opinión, ¿el gobierno ecuatoriano debe permitir o no debe permitir que los extranjero inviertan en Petroleo;p7_705_6c;pMx2_3;qmx2_3, qmx2_3b;P773;NA;NA;P7_7_3;P7_7_3;NA;NA;V_7_7_3;NA;P7_7_3;NA;P7_7_1_C;NA;NA;NA;
Q_635;635;En su opinión, ¿el gobierno ecuatoriano debe permitir o no debe permitir que los extranjero inviertan en Seguridad Social;NA;NA;NA;NA;NA;NA;P7_7_7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_636;636;En su opinión, ¿el gobierno ecuatoriano debe permitir o no debe permitir que los extranjero inviertan en Telefonia;p7_705_6a;pMx2_1;qmx2_1, qmx2_1b;P771;NA;NA;P7_7_1;P7_7_1;NA;NA;V_7_7_1;NA;P7_7_1;NA;P7_7_1_A;NA;NA;NA;
Q_637;637;En su opinión, ¿en qué situaciones debe o no la ONU autorizar el uso de la fuerza… Para prevenir que un pais adquiera armas nucleares;NA;NA;q46_1;NA;NA;q46_1;NA;NA;NA;q46_1;NA;NA;NA;NA;NA;NA;NA;NA;
Q_638;638;en su opinión, ¿qué es mejor para el futuro de [PAÍS], tener participación a;p6_601_1;p26;q31;P61;p26;q31;P6_1;P6_1;p26;q31;v_6_1;p13;P6_1;p6_1;P6_1;p26;Q_46;p13;
Q_639;639;En su opinión, ¿qué tan de acuerdo está usted con que [PAÍS] participe en esfuerzos internacionales para mejorar la situación de los derechos humanos en Cuba?;NA;NA;qLD5;NA;NA;NA;NA;NA;NA;qLD5;NA;NA;NA;NA;NA;NA;NA;NA;
Q_640;640;en su opinión, ¿qué tan importante debe ser cada uno de los siguientes aspectos para permitir que un extranjero venga a vivir en [PAIS] … hable espanol;NA;p11_3;NA;NA;p11_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p11_3;NA;NA;
Q_641;641;en su opinión, ¿qué tan importante debe ser cada uno de los siguientes aspectos para permitir que un extranjero venga a vivir en [PAIS] … sea de un pais com cultura similar;NA;p11_4;q14_2;NA;p11_4;q14_2;NA;NA;NA;q14_2;NA;NA;NA;NA;NA;p11_4;NA;NA;
Q_642;642;en su opinión, ¿qué tan importante debe ser cada uno de los siguientes aspectos para permitir que un extranjero venga a vivir en [PAIS] … tenga dinero;NA;p11_5;q14_3;NA;p11_5;q14_3;NA;NA;NA;q14_3;NA;NA;NA;NA;NA;p11_5;NA;NA;
Q_643;643;en su opinión, ¿qué tan importante debe ser cada uno de los siguientes aspectos para permitir que un extranjero venga a vivir en [PAIS] … tenga familiares cercanos;NA;p11_2;NA;NA;p11_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p11_2;NA;NA;
Q_644;644;en su opinión, ¿qué tan importante debe ser cada uno de los siguientes aspectos para permitir que un extranjero venga a vivir en [PAIS] … tenga un buen nivel educativo;NA;p11_1;q14_1;NA;p11_1;q14_1;NA;NA;NA;q14_1;NA;NA;NA;NA;NA;p11_1;NA;NA;
Q_645;645;en su opinión, ¿qué tan importante debe ser cada uno de los siguientes aspectos para permitir que un extranjero venga a vivir en [PAIS] … tenga una profesion o oficio que [PAIS] necesite;NA;p11_6;q14_4;NA;p11_6;q14_4;NA;NA;NA;q14_4;NA;NA;NA;NA;NA;p11_6;NA;NA;
Q_646;646;En su opinión, ¿qué tanto benefició el Fallo de la Corte Internacional de Justicia de La Haya a los intereses de Perú?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P8_13;NA;NA;NA;
Q_647;647;En su opinión, ¿qué tanto han beneficiado los siguientes acuerdos económicos a Colombia: mucho, algo, poco o nada? Acuerdo de Alcance Parcial entre Colombia y Venezuela;NA;NA;NA;NA;NA;NA;NA;NA;NA;qLD7_2;NA;NA;NA;NA;NA;NA;NA;NA;
Q_648;648;En su opinión, ¿qué tanto han beneficiado los siguientes acuerdos económicos a Colombia: mucho, algo, poco o nada? TLC entre Colombia y Canadá;NA;NA;NA;NA;NA;NA;NA;NA;NA;qLD7_3;NA;NA;NA;NA;NA;NA;NA;NA;
Q_649;649;En su opinión, ¿qué tanto han beneficiado los siguientes acuerdos económicos a Colombia: mucho, algo, poco o nada? TLC entre Colombia y Estados Unidos;NA;NA;NA;NA;NA;NA;NA;NA;NA;qLD7_1;NA;NA;NA;NA;NA;NA;NA;NA;
Q_650;650;En su opinión, ¿qué tanto han beneficiado los siguientes acuerdos económicos… Acuerdos comerciales y económicos con Irán?;NA;NA;NA;NA;NA;qLD7_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_651;651;En su opinión, ¿qué tanto han beneficiado los siguientes acuerdos económicos… Acuerdos comerciales y petroleros con Venezuela?;NA;NA;NA;NA;NA;qLD7_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_652;652;En su opinión, ¿qué tanto han beneficiado los siguientes acuerdos económicos… Ley de preferencias arancelarias andinas (Atpdea);NA;NA;NA;NA;NA;qLD7_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_653;653;En su opinión, ¿qué tanto se respetan los derechos humanos en [PAIS]?;NA;NA;NA;PP121;NA;NA;P12_1;NA;NA;NA;V_12_1;NA;P12_1;NA;P12_1;NA;NA;NA;
Q_654;654;En su opinión, ¿qué tanto se respetan los derechos humanos en Estados Unidos?;NA;NA;NA;PMx8;NA;NA;M8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_655;655;En su opinión, el proceso de paz en Colombia [beneficia vs prejudica a PAIS];NA;NA;NA;NA;NA;EC20;EC20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_656;656;En su opinión, los acuerdos de paz en Colombia podrían resultar en:;NA;NA;NA;NA;NA;NA;ECPNUD3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_657;657;En su opinión, qué relaciones comerciales debiera priorizar Chile?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C24;NA;NA;NA;NA;NA;
Q_658;658;En su opinión, qué relaciones comerciales debiera priorizar Chile? Otra?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C24_TXT;NA;NA;NA;NA;NA;
Q_659;659;En su opinión, quién trata mejor [peor] a los migrantes indocumentados: los estadunidenses a los mexicanos o los mexicanos a los centroamericanos?;p9_805_5;pMx6;qmx6a, qmx6b;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_660;660;en su opinión, si la economía de china creciera hasta ser tan grande como la de Estados Unidos;p10_1004_4;p64;q73;P103;p64;q73;P10_3;NA;p64;q73;v_10_3;p45;P10_3;p10_3;P10_3;p64;Q_122;p45;
Q_661;661;En su vida diaria, ¿con qué frecuencia escucha usted el término “derechos humanos”;NA;NA;q79;PP122;NA;q79;P12_2;NA;NA;q79;V_12_2;NA;NA;NA;P12_2;NA;NA;NA;
